contract_num,starting_account_to_stock_ratio,years_to_maturity,monthly_account_crediting_rate,monthly_valuation_discount_rate,mu_stock_drift,sigma_stock_vol,option_value_time_0
0,1.0764,19,0.009,0.008,-0.01,0.08,130.5037
0,1.0764,19,0.009,0.008,-0.01,0.06,131.4502
0,1.0764,19,0.009,0.008,-0.01,0.04,131.9859
0,1.0764,19,0.009,0.008,-0.01,0.02,132.253
0,1.0764,19,0.009,0.008,-0.01,0.0,132.3264
0,1.0764,19,0.009,0.008,-0.008,0.08,128.6608
0,1.0764,19,0.009,0.008,-0.008,0.06,130.043
0,1.0764,19,0.009,0.008,-0.008,0.04,130.8829
0,1.0764,19,0.009,0.008,-0.008,0.02,131.251
0,1.0764,19,0.009,0.008,-0.008,0.0,131.3684
0,1.0764,19,0.009,0.008,-0.006,0.08,125.4146
0,1.0764,19,0.009,0.008,-0.006,0.06,127.8029
0,1.0764,19,0.009,0.008,-0.006,0.04,129.0392
0,1.0764,19,0.009,0.008,-0.006,0.02,129.6672
0,1.0764,19,0.009,0.008,-0.006,0.0,129.8599
0,1.0764,19,0.009,0.008,-0.004,0.08,121.147
0,1.0764,19,0.009,0.008,-0.004,0.06,124.1014
0,1.0764,19,0.009,0.008,-0.004,0.04,126.0579
0,1.0764,19,0.009,0.008,-0.004,0.02,127.2024
0,1.0764,19,0.009,0.008,-0.004,0.0,127.4847
0,1.0764,19,0.009,0.008,-0.002,0.08,114.4812
0,1.0764,19,0.009,0.008,-0.002,0.06,118.527
0,1.0764,19,0.009,0.008,-0.002,0.04,121.852
0,1.0764,19,0.009,0.008,-0.002,0.02,123.3115
0,1.0764,19,0.009,0.008,-0.002,0.0,123.7447
0,1.0764,19,0.009,0.008,0.0,0.08,104.272
0,1.0764,19,0.009,0.008,0.0,0.06,110.0585
0,1.0764,19,0.009,0.008,0.0,0.04,114.6727
0,1.0764,19,0.009,0.008,0.0,0.02,117.171
0,1.0764,19,0.009,0.008,0.0,0.0,117.8557
0,1.0764,19,0.009,0.008,0.002,0.08,92.7465
0,1.0764,19,0.009,0.008,0.002,0.06,97.6596
0,1.0764,19,0.009,0.008,0.002,0.04,103.1868
0,1.0764,19,0.009,0.008,0.002,0.02,107.4257
0,1.0764,19,0.009,0.008,0.002,0.0,108.5829
0,1.0764,19,0.009,0.008,0.004,0.08,77.9302
0,1.0764,19,0.009,0.008,0.004,0.06,81.3603
0,1.0764,19,0.009,0.008,0.004,0.04,86.9288
0,1.0764,19,0.009,0.008,0.004,0.02,92.1984
0,1.0764,19,0.009,0.008,0.004,0.0,93.982
0,1.0764,19,0.009,0.008,0.006,0.08,62.3623
0,1.0764,19,0.009,0.008,0.006,0.06,61.8206
0,1.0764,19,0.009,0.008,0.006,0.04,63.6247
0,1.0764,19,0.009,0.008,0.006,0.02,67.9333
0,1.0764,19,0.009,0.008,0.006,0.0,70.9914
0,1.0764,19,0.009,0.008,0.008,0.08,44.9898
0,1.0764,19,0.009,0.008,0.008,0.06,42.0123
0,1.0764,19,0.009,0.008,0.008,0.04,37.8481
0,1.0764,19,0.009,0.008,0.008,0.02,34.3428
0,1.0764,19,0.009,0.008,0.008,0.0,34.7904
1,1.2808,5,0.007,0.002,-0.01,0.08,113.2293
1,1.2808,5,0.007,0.002,-0.01,0.06,116.7331
1,1.2808,5,0.007,0.002,-0.01,0.04,120.4738
1,1.2808,5,0.007,0.002,-0.01,0.02,121.9951
1,1.2808,5,0.007,0.002,-0.01,0.0,122.5195
1,1.2808,5,0.007,0.002,-0.008,0.08,106.1205
1,1.2808,5,0.007,0.002,-0.008,0.06,110.1805
1,1.2808,5,0.007,0.002,-0.008,0.04,113.8765
1,1.2808,5,0.007,0.002,-0.008,0.02,115.6916
1,1.2808,5,0.007,0.002,-0.008,0.0,116.3619
1,1.2808,5,0.007,0.002,-0.006,0.08,100.0082
1,1.2808,5,0.007,0.002,-0.006,0.06,103.4308
1,1.2808,5,0.007,0.002,-0.006,0.04,106.2167
1,1.2808,5,0.007,0.002,-0.006,0.02,108.579
1,1.2808,5,0.007,0.002,-0.006,0.0,109.4332
1,1.2808,5,0.007,0.002,-0.004,0.08,90.9999
1,1.2808,5,0.007,0.002,-0.004,0.06,95.0817
1,1.2808,5,0.007,0.002,-0.004,0.04,98.5929
1,1.2808,5,0.007,0.002,-0.004,0.02,100.6729
1,1.2808,5,0.007,0.002,-0.004,0.0,101.6367
1,1.2808,5,0.007,0.002,-0.002,0.08,83.8058
1,1.2808,5,0.007,0.002,-0.002,0.06,85.7487
1,1.2808,5,0.007,0.002,-0.002,0.04,89.6041
1,1.2808,5,0.007,0.002,-0.002,0.02,92.0416
1,1.2808,5,0.007,0.002,-0.002,0.0,92.8636
1,1.2808,5,0.007,0.002,0.0,0.08,75.1283
1,1.2808,5,0.007,0.002,0.0,0.06,76.2638
1,1.2808,5,0.007,0.002,0.0,0.04,78.936
1,1.2808,5,0.007,0.002,0.0,0.02,81.8976
1,1.2808,5,0.007,0.002,0.0,0.0,82.9919
1,1.2808,5,0.007,0.002,0.002,0.08,65.7885
1,1.2808,5,0.007,0.002,0.002,0.06,66.4999
1,1.2808,5,0.007,0.002,0.002,0.04,67.6653
1,1.2808,5,0.007,0.002,0.002,0.02,70.7367
1,1.2808,5,0.007,0.002,0.002,0.0,71.8837
1,1.2808,5,0.007,0.002,0.004,0.08,57.1526
1,1.2808,5,0.007,0.002,0.004,0.06,56.0515
1,1.2808,5,0.007,0.002,0.004,0.04,56.4798
1,1.2808,5,0.007,0.002,0.004,0.02,58.1021
1,1.2808,5,0.007,0.002,0.004,0.0,59.3843
1,1.2808,5,0.007,0.002,0.006,0.08,49.4488
1,1.2808,5,0.007,0.002,0.006,0.06,46.44
1,1.2808,5,0.007,0.002,0.006,0.04,44.4623
1,1.2808,5,0.007,0.002,0.006,0.02,44.0384
1,1.2808,5,0.007,0.002,0.006,0.0,45.3195
1,1.2808,5,0.007,0.002,0.008,0.08,41.3717
1,1.2808,5,0.007,0.002,0.008,0.06,37.6142
1,1.2808,5,0.007,0.002,0.008,0.04,33.7492
1,1.2808,5,0.007,0.002,0.008,0.02,29.4221
1,1.2808,5,0.007,0.002,0.008,0.0,29.4931
2,0.6928,12,0.009,0.002,-0.01,0.08,160.5048
2,0.6928,12,0.009,0.002,-0.01,0.06,165.2796
